Participants,Signal,filtered_words,Final Sentiment
9,13,panicky,Negative
9,14,alarm,Negative
9,15,alarm,Negative
9,15,panicky,Negative
9,15,panicky,Negative
10,1,abrupt,Negative
10,2,rugged,Negative
10,2,uneven,Negative
10,2,uneven,Negative
10,4,warning,Negative
10,4,unsuccessful,Negative
10,5,billowy,Negative
10,7,prickly,Negative
10,7,unpleasant,Negative
10,9,assailable,Negative
10,10,sudden,Negative
10,12,disappear,Negative
10,13,muddy,Negative
10,15,muddy,Negative
11,2,wrong,Negative
11,4,weird,Negative
11,6,unpleasant,Negative
11,8,weird,Negative
11,9,sticky,Negative
11,9,unpleasant,Negative
11,9,uncomfortable,Negative
11,10,bad,Negative
11,10,urgent,Negative
12,1,annoyance,Negative
12,2,skip,Negative
12,2,quiet,Negative
12,6,frictional,Negative
12,9,numb,Negative
12,13,small,Negative
12,13,uncomfortable,Negative
12,14,intense,Negative
12,14,clangorous,Negative
12,14,injectable,Negative
12,16,uneven,Negative
12,16,bad,Negative
12,16,intense,Negative
12,16,sloppy,Negative
12,16,uncomfortable,Negative
