Participants,Signal,Text
1,11,"I'm not feeling a whole lot from this one, to be honest. There's one of the other ones that I said that for. It feels similar. It's like there's something, but I am just not quite getting it."
1,12,"This one feels like a train or a horse. Excitement is not necessarily the first word I'd be like --. I feel excited, but it's not relaxing particularly. It feels like you're jogging or something. Yes, it's quite rhythmic, I would say. It's quite pulsating, quite up-beat or urgent or whatever. But it doesn't feel alarming to me anyway."
1,13,"So the last one felt like a horse. This feels like a train, I think. Yes, it's quite nice. It's quite settling and almost soothing or something. Yes, it's like you're on a train or something. So it's not passive or the waves rolling in, and there is a rhythm to it. The last one was quite direct. This one feels less involved or something. I don't know. Yes, I feel satisfied. This one definitely feels positive, like if you were playing a game or something and you had a remote controller. I'm not a gamer. Do they not do, when stressful bits are happening, the remote shakes a lot? This feels like you're doing well in your game, that good things are --. Or you're not in any danger."
1,14,"This one feels quite strong. This one honestly feels like shaving a little bit, like you're using an electric razor. Just the actual vibrations on my hand feel a little bit like that. This is quite constant. There is a pulse, but there are no gaps, if that makes sense. It's more steady. The fact that it is quite fast does make you feel urgent. I feel like I'm moving my finger faster. It almost feels a little bit like you're at a club, but the techno is very hard and fast. And it's just like not noise, but it's not necessarily rhythmic. I don't know. Yes, but that's just because of the pace. The actual sensation is quite pleasing and nice and soft, a little bit like shaving. With the techno thing, what I meant by that was the tempo of the pulse a little bit more. The pulse that I am feeling anyway is quite fast, almost like a heavy bass line. But it's not like when you're listening to hard techno like [onomatopoeia]. It's not like rhythmic or like constant, whereas this feels rhythmic and constant, but it's just also fast. I don't know. It's not relaxing and maybe slightly stressful, but it feels nice though. It's maybe a little bit like you're coming towards the end of giving a presentation, and it's going well so far. You're like, we're nearly out of the woods, but you're still in quite a high-pressure situation. It doesn't feel not nice, but it also is not relaxing."
1,15,"This one feels like you have your hand on the printer, one of those big printers we have at work. And it also has the big scanner, and the copier and all that. It's shooting out pages like it's nobody's business. I don't know. You're printing a 200-page thing. And it's really in its rhythm. It is just shooting them out. I don't know. The description I just gave sounds like a boring task, but it's quite pleasing to me. I don't know. Yes, I feel satisfied. It's like mundane or more menial tasks like me doing laundry, for example. I feel like it fills me with --. It's not boredom. It's, I guess, satisfaction, but it's not an excitement either. It's quite rhythmic. It's quite fast. But the last one that I described as shaving that was fast in a way felt like you needed to keep up. This feels like fast the way that you're in a taxi or something. It's not you driving. This is happening, and you're a passenger in that sensation. I don't know. I'm watching these pages shoot out. I don't need to catch them. They're falling into the tray."
1,16,"I am not feeling a whole lot from this one if anything. Maybe if I slow it down. Yes, this one's nice and slow. I don't feel this one as strong as I feel a lot of the other ones. I don't know. A little bit more bored than the other ones. I think that's the tempo of it, maybe. And the fact that it is not an aggressive pulse to me. No, I don't feel distressed, really. Maybe bored is a good word. It's not bored in the sense that it's unpleasant, but it's just a bit more --. I don't know. I know I have been talking about printers, but maybe a personal printer from the early 2000s. It would take four minutes to print a sheet. I mean you have to be there for really quite a long time, and it is a little boring. I don't know. Nothing more direct. It doesn't feel like you're seeing an alarm or hearing an alarm or like whatever. It's more just like background noise or a background sensation. I don't know. I think it's funny. I'm equating all of these noises. But I think that's how it feels."
2,1,"It reminds me of something creaky, like a seesaw or something. It also feels like when you run your fingers down a knife-edge as well. No, I don't feel excited. I guess I would just describe it to someone else, as I said before, like when you run your finger down a blunt knife, like a kitchen knife, and that has got a rugged edge. No, it doesn't feel dominant. It feels quite neutral, I would say. I associate it with sawing something. I would say it feels slightly uncomfortable."
2,2,"I would say it feels quite similar to the last one. I would associate it with when you hold a balloon and then you put your arm down it. No, not your arm, your hand down the balloon and feel the, what's the word --. God, I don't remember the word. I don't really associate any adjectives with it. It just feels squeaky on my finger. It also makes my hand feel numb as well. It makes me feel slightly distressed, actually, more than the last one. I don't feel satisfied, no."
2,3,"It's interchangeable. I think it feels like you're waiting for something to happen because it's going smooth and then hits the glass because there's nothing really happening with the vibration. So it's just your finger on the glass. It does remind me of something, actually. It reminds me of the fingerprint button on an iPhone. That's what it is. It's quiet. I would say it feels quite quiet."
2,4,"I would say it's quite similar to the last one when I said it felt like the fingerprint button on an iPhone. It feels like when you unlock an iPhone with your fingerprint but maybe five times stronger than that, to be specific. It's maybe like an alarm clock. I wouldn't say it reminds me of something I felt before."
2,5,"Yes, it feels quite smooth, like putting your finger in water. I don't feel excited. I would say it's boring. Yes, this doesn't really feel like much is happening with this one. No, I don't feel distressed. I do feel slightly satisfied. No, it doesn't feel dominant."
2,6,"This one feels even smoother than the last one. Really random, but the first thing that comes to my mind is icing sugar, like when you hang your hand in it, and it feels really soft. It feels like when you use a nice pen, like a smooth pen. Other than smooth? It's nice, I guess."
2,7,"I don't really like this one. It feels a bit scratchy. It feels like rubber, like putting on rubber boots or wearing something rubbery, touching something rubbery. It makes me feel uncomfortable, I would say. No, I don't feel excited. I feel slightly distressed. I don't feel satisfied."
2,8,"I feel like this reminds me of something, but I can't think what it is. It feels a little bit like before, like rubbing a balloon but on a lesser scale. It feels familiar, but I can't put my finger on exactly what is. I think it feels tiring, I would say."
2,9,"Again, this one feels quite similar to the ones before. It makes me feel quite agitated because it's smooth, and then you can feel stronger vibrations, I think, but you don't know when they're coming. It actually feels a little bit like chalk on a blackboard kind of thing. I would say it's unpredictable. Yes, I would say it makes me feel a little bit nervous. No, it doesn't remind me of anything I felt before."
2,10,"Yes, this one feels a lot stronger. It feels like you're getting an electric shock. It's like, I don't know if you have it in Germany that game, what's it called? It's like the little man on the operating table. And then you have to put the organs into him using the little tools. And then it gets a shock if you hit his body. No, I don't feel satisfied. Yes, it probably makes me feel more excited than the other ones so far. Yes, it does feel dominant."
2,11,"This one feels like or reminds me of a heart beating. I don't know if it does remind me of something. I would say it's quite consistent, quite rhythmic, and quite calming. I would say it sounds like a clock. I would say it feels quite smooth on my finger. I would describe this to someone else as having constant but subtle vibrations under your finger."
2,12,"This makes me feel like I'm in Ved Siden Af. Literally, the first thing that came to my mind was being in a nightclub. It's quite frantic, intense, a little bit scary. It feels like a bomb that is going to explode or something. It feels really strong on my finger. Yes, it feels like when your skin is pulsing, maybe a bit sore or something."
2,13,"This one feels like I'm using a pencil. I hate using pencils. I've already used the word scratchy, but it also is quite scratchy. It's not very nice. It feels like when you run your finger along a smooth surface, but maybe like a wooden surface. But then there's a bit of wood sticking up, and then it's like a splint, just like that. It just feels uncomfortable, I think."
2,14,"This one feels like dramatic music in a movie. It's like a bad bit in a movie. Someone is being chased or something. It feels like it goes from low to high on a loop. It reminds me of those lights that you get in science museums, and it's like a globe. And there's a light and then when you touch it the light comes to your finger and then you can move the light. It feels like that. I don't know."
2,15,"This one is like a frog croaking. It feels scary, actually. Because the vibrations are quite low, and they get faster. It feels like your fingers are being chased. I don't know if it does remind me of anything from before. It is quite intense, quite dominating, quite rough as well."
2,16,"I do not like this one. And it feels like sandpaper. And it feels quite frustrating. It feels like you want to wear it down to make it smooth, but then you can't. So it's quite annoying. It feels like I said, like sandpaper, just like holding a bit of paper or a bit of cardboard."
3,1,"It makes me feel a bit annoyed, actually. And it makes me feel like I'm more sweaty than I think I am. I'm sticking. Slightly irritating. The sensation feels like my finger is wet. I think this is the best way to describe it. It reminds me of running my fingers on the window of a car that's slightly damp, like a mirror, a damp mirror. It's like you're trying to do or describe it as like you're trying to do something, but you can't. It's sticky, but not sticky. That's really bad, sorry."
3,2,"It's a little bit happy, not happy-happy, but I don't feel depressed or anything. It feels quite benign. I keep thinking of braille, but, I mean, I have very limited knowledge of what you can use this tech for, I think. It doesn't really remind me of anything I felt before. I don't think, not in terms of anything electric or anything. Tingly. It's like a tingly buzzing."
3,3,"The first word that comes to mind is staccato, which is like a musical term, but it feels like a staccato. I don't feel anxious, but it gives me more of an anxious feeling than the previous one. This doesn't feel benign. I don't think I felt anything like this before. I'm not quite sure how it feels."
3,4,"Just constant friction. It feels very constant. Difficult. Resistance. I think, emotionally, I feel the same way as I would if I were facing restrictions. It's a little bit irksome. No, I can't associate any actions with it."
3,5,"I would describe this to someone else as more discreet. I think you almost have to be attentive to realize it's there. And then it's suddenly more periodical, I guess. It doesn't feel like much on my finger. It's like a small buzz, but it doesn't feel like an obstruction in the same way that the other ones did. It makes me think of when you pull a sticker off something, and there is a tiny bit of glue left, still, even though you got rid of most of it. You wrap your hand across it, and you stick. It's just a little bit annoying."
3,6,"So it feels a little bit stronger, more like a little zing on your finger. I am blanking on adjectives. I think I would also describe this as staccato, a fast staccato buzz on your finger. It's not very imaginative. I'm not really feeling any emotions."
3,7,"This feels like there's a lot more resistance all of a sudden, like jagged. It's a little bit irksome. I don't know. It's annoying. It feels a bit frustrating because it comes and goes, and then it is really resistant all of a sudden, and you don't expect it to be. It's like help. Where did that come from? It's a bit annoying. It makes me think a little bit of like walking through snow on grass. And you don't know what's underneath. And suddenly you step in a hole, and you're like, fuck, was this hole a minute ago, and then you're stumbling."
3,8,"This one feels a bit like the sticker, but there's way more sticky stuff left on your CD. This is also nice when you leave it for a while, like a little buzz. Maybe it makes me think a little bit like polishing something to the point where it gets really squeaky clean. And it always wants to hear that squeaking noise from it. Maybe because it feels like there's slightly more resistance, but it's still quite constant."
3,9,"This feels very constant but more like sludgy. I keep thinking, is it my finger that is sweaty? Or is it the thing that is just there all the time? It's annoying me a little bit, but I think it's maybe because I can't quite sense what I am supposed to be sensing. I feel it can't make its mind up, and I can't make my mind up. It doesn't feel like much on my finger."
3,10,"This feels super resistant to me. This feels quite forceful. This one is a little bit aggressive. Sporadically. No, I don't associate much with it. I don't think I really felt it before. This feels a bit like being stuck in the mud or something."
3,11,"This makes me think of a motor, a tiny little motor. It's slightly buzzing but more powerful. It's just like a buzz. It's like I would imagine a bee would feel like if it just sat on my finger buzzing. Excitement, maybe, is an emotion in a cutesy way. I don't think I feel satisfied. I feel like this would be before the satisfaction. This doesn't feel dominant to me. It feels like a little dog that's barking, and it thinks it's really dangerous, but it's actually really cute. It can feel like that."
3,12,"This feels a little bit more intrusive again. I feel like we're back to the slightly more aggressive ones in a way like it feels a little bit more aggressive. I keep thinking of the sticker again. The sticker stuff, it feels like that. It feels like I expect to take my finger off, and there would be something on my finger that was in the way. It doesn't feel painful or annoying or anything. It's just like there's some kind of obstruction."
3,13,"It's like a vibrator, but one that's not very powerful, just very low level. It's funny to me. It's slightly exciting as well, not necessarily sexually exciting, but like that buzz of excitement. No, I don't feel bored. I feel very in my head, exciting, mysterious, a little bit anxious."
3,14,"I'm so sorry, I'm thinking of a vibrator again, but the ones that come with different vibration patterns because the switch is so dramatic. It feels very dramatic this one. Other than a vibrator? An engine again, maybe. Something slightly unstable. I don't think my finger feels all that much. I think I'd describe it as touching an engine that's sputtering right in the beginning. I think you need to think of an old-school engine that's just coming to life. And it doesn't like that. I feel a bit like that. That felt a bit different. Very jaggy. Spiky. Not very comfortable. It makes me feel a little anxious."
3,15,"This is the toughest when you send it to the max level, the vibrator. Sorry for the audio. It makes me think a little bit of standing on the deck of a ferry when it starts moving, and you're surprised by how much you feel the vibration. I feel a little bit distressed. Yes, it feels a bit dominant. It's taking over a little bit. So it's more difficult to think because it's stressing me out."
3,16,"This one feels so gentle compared to the last ones. You're almost not sure it's there. This feels very friendly by comparison to the other ones, much less stressful. It feels more kind, gentle. I feel that this is like the purring kitten of them. I wouldn't be anxious to have to feel the sensation again. It feels more chill. I would recommend this feeling for other people, but not necessarily the previous ones to experience. I think, emotionally, compared to the other ones, I'm a little bit relieved when I feel this one. Yes, maybe a relief."
4,1,"Okay. It feels a little static, like when you rub a balloon on your head, and then you put it against the --. Yes, exactly when you rub a balloon on your head, and you put it on the wall. That exact kind of static is what I feel. Yes, it's prickly, but not in a sharp way. I feel a lot of small like [onomatopoeia] as if there was a bunch of bamboo woods sticking out, little ones. I was just putting my finger around it. Yes, like tiny little things that I slightly catch on, but not really on my finger slightly catches on to."
4,2,"Okay. It's like a surface that isn't completely smooth, like a wall that's been painted over. It's not quite sandpaper, but you can tell that there is something between you and the smooth surface. Yes, it's how I imagine that wall would feel. Yes, it's some kind of wall or painted furniture, maybe even a chalkboard, something like that. I don't know if the sensation gives me emotions. I don't particularly like it just because it makes me feel like if I scratch at it, it will make a sound. Or I might get something on my nails. But doing this doesn't make me feel any emotions."
4,3,"Okay. So you know how last time I said it was like a chalkboard. This is like a whiteboard that I'm trying to erase or like a window that I'm trying to clean. It makes me feel a little bit frustrated because I feel like it should be smoother in some parts than others. I feel like my fingers are just being caught on some dirt or something when it should be really smooth. It's smooth, but your finger feels like it's being tugged by something small. I don't know. Maybe it's some kind of oil or grease or dirt. Yes, it really just feels like something's dragging on it, like some sort of tiny little thing, like a speck of dirt."
4,4,"I was wondering if this is the one that somebody said sort of feels like farts. I don't know. It doesn't really feel like a fart, but I can feel like something's going on like [onomatopoeia]. It's similar to the last one. But it's a bit more resistance. And I can feel actual specks of dirt. I feel like this glass is dirty. It sort of feels like cleaning a whiteboard, cleaning a window, or at least, what it should feel like when I should have to clean it or something. Gross. I don't know. It's not really gross, but it feels dirty. Sticky. I feel like there are specific parts. Right here, it feels a little bit dirtier than other parts. Maybe that's just me going crazy."
4,5,"Yes, it feels like little vibrations, but I don't know how to describe it. It's like [onomatopoeia]. It feels like tiny little bristles like very, very small ones that I'm running my finger down, maybe sort of like a toothbrush. It still feels a little bit dirty in some places. I'm wondering if that's just me. It's like a lot of bumps that are soft. They're kind of hard. But they're very, very thin and it's a lot of them. It feels like you're lightly touching a toothbrush like the bristles. I don't know. I don't mind it. It feels fun to touch."
4,6,"I can feel vibrating. I don't know. It feels like maybe a wooden surface like that amount of friction. It feels like if I have a good speed, I can easily run it around. But when I go a little bit slower, it's harder. I feel a bit more friction, like the feeling of me passing through it. I'd say it's not as smooth as glass, but relatively smooth. Yes, it feels like a surface, like if I were on a table or something. It feels like my dinner table."
4,7,"Okay. The other one was very uniform. This doesn't feel so uniform. It feels like there are some parts where I'm feeling something and where my finger gets caught. It feels dirty again. It feels like glass. It feels like last time, my fingers getting sort of stuck at some point. If I am rubbing, my finger goes flying through. But then, at some point, it feels like I'm getting stuck on something. I don't like it. I don't know. I feel yucky. I feel like I should go wash my hands."
4,8,"All right. This one's smooth. I feel some friction. Still, I'm trying to think. It's quite small. I can't tell if it feels like a different surface or if it feels like there's some stuff on it. Maybe it just feels a little dusty. Yes, but I'm trying to figure out what it would be. I feel this sensation more when I go this way, like diagonally. I'm not sure if that's me going crazy. I'm trying to figure out what it could be. I feel like a lot of things feel like cleaning a window somehow, but it feels like those windshield wipers. I feel like that's the sound my finger would be making on this."
4,9,"I can only feel it sometimes. So I'm trying to figure out what it is based on. Sometimes my finger feels it. Yes, it's relatively smooth. Yes, I guess it would feel sort of like this table, like an IKEA desk table, I think. It feels like there's a slight amount of friction. Sometimes I feel more than other times. I'm not sure if that's just me pressing too hard. I guess it's neutral. I mean, I'm not entirely certain because sometimes I feel something, but for the most part, it feels fresh and clean relative to the other feelings, but not as much as glass would feel."
4,10,"It's like a light rumbling, sort of like a tummy growling like a stomach growling a bit or like your hands on your dog or your cat or something. I don't know. I like it. It doesn't feel fuzzy as in fur, but fuzzy as in like [onomatopoeia] sort of like petting a bee. Yes, it's buzzy, I guess. Yes, it's a vibration. It's like rumbling a little bit under my touch."
4,11,"This sort of feels like glass, but the first thing that came to my mind was a shaver. I don't know why. Yes, it sort of feels like I'm shaving something, mowing something down. I feel like a shaver or electric toothbrush, but you don't normally feel that with your finger. It's just that sort of sensation that I get from it in terms of something that I have felt before with my finger. I don't know. I am still feeling glass, so it still feels relatively smooth. I don't know. I don't feel hairs, but I feel like I'm pushing something away, but I don't feel what it is."
4,12,"Okay. This again feels dirty, like not super sticky. I don't know. It sort of feels like my finger is getting dragged by something. I don't like it. I feel like some kind of friction. This one sort of feels like it's pushing me a little bit. The other one sort of felt like I was touching a kid's iPad that had spilled juice on it. This sort of feels a little bit like it's pushing back at me, and I don't know why. Okay, it feels like there's a bunch of stuff on it, and when you pass your finger by it, it's blowing at you. I don't know."
4,13,"This one is a very mechanical vibration, like a machine that's running. Yes, this is how it would feel to maybe touch my computer when it's on the actual PC computer. I can feel it rumbling on the inside, but it doesn't feel like there's something on the surface so much. It just feels like it's rumbling from within. I guess it kind of tingles. It kind of tingles on my finger, yes. It's not super rumbly. It's just like a little tingle of something running underneath. I don't know. I feel like it would be something that would be warm because it feels like a machine. But I can imagine if something randomly started making this, I would be concerned if it wasn't what I was expecting. I wasn't expecting it to be a running machine, I guess."
4,14,"It feels like I'm just getting lightly shocked, like [onomatopoeia]. Yes. Okay. It's not as strong, but it reminds me of an electric fence. I've been shocked by an electric fence, and that's quite strong. This isn't so strong. This has an electric current running through it. Yes, I can't associate anything, but it just feels like I'm working with --. Maybe if you're playing laser tag, this sort of feels like what it is like to shoot somebody or to be shot. You get a little rumble that there's a pass of electricity. It doesn't hurt. It's not scary. It feels like I felt something. It feels quite neutral."
4,15,"This is quite smooth, still. The first thing that came to my mind was an ice rink after some people had been skating on it for a while. It's relatively smooth, but you can feel that there's some friction there sometimes. Some people have messed up the ice a little bit. If I think very closely about it, I can feel like there's some vibration on it that I sometimes feel more than other times. It's quite a light vibration that I feel. It's like a small little like snow ice pieces. That's what I feel like. It feels kind of smooth but also soft."
4,16,"It feels like a sensation that I'd feel in some sort of arcade game where something's coming up at me. I'm going to go slower. Yes, it feels like there's some pulsing underneath my finger, but I can't attach it concretely to anything. It feels like one of those spaceship games where it's shooting at you, and then you need to avoid the missiles and shoot back. I'm a little stressed. Not very stressed. It just feels like something's coming up at me, and I don't know what."
5,1,"Yes, it's this small friction. It feels very fast, but also, it just feels like touching something with friction. I don't really get any signals out of it or feel like it wants me to do something. It's just like a small vibration in my finger. Yes, it makes it a bit more difficult. I don't know if it reminds me of something I felt before. Maybe it's the kind of feeling when I've just peeled an orange. And I get this slight friction on my skin because of the juices of the orange. I can get friction from that. And I feel like it's in that area. I don't feel much different with this. It's just there, but I don't really feel like it changes my mood or anything like that."
5,2,"This feels like a bit more friction than the last one. It's more like some plastic that has small dots on it or small rivets or something like that. I can feel it. And it's like this steady, constant thing. Emotionally, I don't really have a response to it, but I can feel like it's working against me or trying to make me slow down maybe a little bit but physically. It's more difficult to actually move my finger because there's this resistance. If I should describe it to someone else, I would say, like running a finger on the side of a matchbox, so some nimble small dots are running over my skin. And it feels a bit like physically stopping me in my tracks. I think that's what I get from it."
5,3,"This feels soft in a way. It doesn't really have that much of a texture. Maybe if I'm really concentrating on it, it feels more like lines more than it feels like dots. It doesn't really bring attention to itself. It's just there. I wouldn't be able to tell if it was just the surface that was like this or if there was something else. It feels more discreet and more hidden in a way. I would say it's soft, runny. I think maybe a bit cool, not cold, but like a bit of coolness or something like that. Yes, I think it reminds me of skiing somehow."
5,4,"It's more sporadic. It feels like it's stopping me more. It feels like it's telling me to stop. I'm pushing, and something is pushing back. I'm trying to get somewhere, but there is a force exerted in the other direction. And it's more like in waves, like not constant. It's trying to tell me to stop and not just be in the way, but actually trying to tell me something like, don't go this way. I feel some kind of stubbornness. I get to feel more stubborn and more want to push against it. It feels like there's something with a thought behind this, but it wants me to do something."
5,5,"It feels very draggy. Yes, I'm thinking of dragging. It's holding me back, but this is not pushing me. This is more pulling me. It's more of a pulling emotion. It also feels like trying to run away from someone who is holding you back. Someone is having their arms around your waist or something, and you try to get away from them. I feel like that's the feeling that I get from this. I'm getting pulled towards something. It feels not rough, but I don't feel that much, I think. When I run my finger over this, I can imagine the sound of it squeaking, like when you rub a glass or something with some water on it. That's what I'm trying to play music with, a glass. That's the sound I'm feeling."
5,6,"I don't know. Ice cream, I think, is the first thing that comes to my mind. I think it's a bit soft. I want to say comforting, but it's not really comforting. It might feel more like a touch. Right now, I feel it a bit more like pointy. It comes more in waves or in small outbursts. Jumpy and a bit pushy. Yes, my finger jumping like it's going, and then it's stopping and going and stopping in a way. I would say I think the adjective is jumpy or barrier or something like that."
5,7,"Yes, this feels like an electric pulse, like a small electric outlet. It feels a little bit tingly. I don't know. It feels like something I felt before, but I can't really place where it is. It feels electrical. No, I don't think I can associate any actions with this. I don't know. I'm thinking of some therapeutic stuff or maybe a massage or something like that, like sitting in a massage chair or something like that."
5,8,"Yes, it feels very periodic. It wants to tell me something. It feels like an alert of something like a very small alarm clock. The sensation is also electrical or a bit pointy but very periodic. So it feels like an alarm clock. The sound that I get in my head is an alarm clock going off in the morning telling me to wake up. Yes, I feel like it tells me to be alert or to be aware of something. It's more like danger ahead or something. It feels like it's telling me to stop doing something. I should put my attention towards something important."
5,9,"Yes, this feels very insisting. It feels like it's telling me to stop, but it feels pushy in a way. It's really trying to tell me something. It also feels very physical, I would say. It feels like an object. It doesn't feel electrical, like some of the others. But it feels more like a surface that I'm used to. It's again that I feel like I need to be aware of something. I think it's more that it feels like it wants me to stop moving my finger more than it wants me to be aware of something. I find this more relating to the thing that I'm doing now. I can imagine driving a car and then having a feeling like this in the whole car telling me to slow down, like slow down or stop what you're doing right now. It's not being alert of anything else."
5,10,"This feels like quite a lot of friction. It also feels tingly, as if an electrical current is running through me. It feels like a weak electrical fence or something like that. You can feel the tingling. I don't really feel like it's trying to tell me anything. It feels very constant. It feels like it's there all the time. It doesn't really evoke any feelings. It's just there. I don't really think that it reminds me of anything. It should be an electric fence or something like that, but a very small voltage. I don't know. Maybe a bit of excitement. That is not an action. Or doing something that you have to gather up the courage to do, I would say. But it's not a specific action that I could do. But I think I'm just relating it to the electrical fence. I think that's the main action that I'm feeling or associating it with."
5,11,"The first thing I was thinking was an electrical saw, not a saw machine, but the round ones, a round saw spinning around. And then I get this pulsating. It's almost like a heartbeat or something like that or like a pulse you can feel on someone. I would say it's electrical. And then there are these small shocks. Yes, there are these things that bring attention to themselves. I don't know what they're trying to tell me. It feels like communication, but I don't know what it wants to communicate."
5,12,"Yes, it feels like the sound of going over a glass, but not making music on it, but more like washing your windows or something like that. It feels like a squeaky noise. And I can feel it's pulsating. But it doesn't really communicate to me, or it doesn't feel like communication. It feels more like a part of the surface or something that's just there when I'm running my fingers over it. I would say it's like when you are cleaning your kitchen, and you run the cloth over a dirty area where it stops in its tracks but then continues going on. Yes, I would say cleaning the kitchen counter."
5,13,"There's not really anything that comes to my mind, actually. Maybe, I don't know, spitting. I think that's the first coherent thing that came into my mind. I get a picture of yellow or purple or something like that. I don't know. It feels like color. I don't know why. It reminds me of something, but I don't really know what it reminds me of. I have this unclear picture of some plastic looking like jigsaw puzzles with some colors on them. But I don't know what it is. Maybe a feeling of some playset when I was a kid. I think that's what's coming to my mind. I had this playset where you could have these infrared lights, and you could set up this alarm system. Somehow that reminds me of this, like playing with electrical things as a child."
5,14,"I would say it's periodic. It comes in waves. It feels like it's trying to stop me, but it doesn't feel like it's succeeding. It's saying stop, stop, stop, stop, but not really putting effort into it. So it's half-hearted messaging that it feels like. I don't really think I can put any adjectives to it. It feels like a fence. It's strong. It's emphatic. I'm sure that it's there, and it's insisting, but not in a way that succeeds with it. It's insisting, but also not really trying or not giving it all."
5,15,"I'm thinking of jets in a jacuzzi or a spa or something like that, like these small water --. Yes, it feels like water pushing out on me of these small water jets used for massaging. That's the feeling I'm getting from this, like calmness and relaxation, I would say. It's feeling relaxed. I would say going to the swimming pool or going to a spa or something, something leisurely, but something relaxing. I'm not exercising, but I'm relaxing in the water. I think that's what I'm really doing. Maybe going into the sauna after that."
5,16,"This one is really annoying, I think. It's really holding me back. It's in the way. It's biking across cobblestone. I don't know. It's not like it's stopping me, but it's really an inconvenience, like really saying, slow down, take it easy, stop, at least tone down what you're doing. I feel like I want to get away from this sensation. I don't want it to get worse. So I want to slow down at least until I can get away from this. It doesn't feel electrical. It feels very physical, very much like a hard surface, like a real everything. It feels very forceful. It's a lot of force. It's feeling like my finger is skipping over stuff. It's running over stuff. I'm just jumping up and down. It feels like the most friction yet. And it's just making my finger jump up and down."
